tâpwê __ Ipc __ x __ right, really, for sure  __ EMPHASIS __ I3
kîkwây __ Ipc __ Interr __ what  __ QUESTION __ I4
tânite __ Ipc __ Interr __ where  __ QUESTION __ I4
awîna __ Ipc __ Interr __ who  __ QUESTION __ I4
tânispî __ Ipc __ Interr __ when  __ QUESTION __ I4
tânêhki __ Ipc __ Interr __ why  __ QUESTION __ I4
tânisîyisi __ Ipc __ Interr __ how  __ QUESTION __ I4
mâka __ Ipc __ x __ but  __ COORDINATE_RELATIONS __ I4
ohci __ Ipc __ x __ from, for, about  __ TIME __ I4
êkwa __ Ipc __ x __ and, now  __ TIME __ I4
êkosi __ Ipc __ x __ so, that's it  __ EMPHASIS __ I4
wîpac __ Ipc __ x __ soon  __ TIME __ I4
wâhyaw __ Ipc __ x __ far away  __ PLACE __ I4
kîhtwâm __ Ipc __ x __ again  __ TIME __ I4
ka __ Ipc __ x __ oh, oh yes  __ EMPHASIS __ I4
wahwâ __ Ipc __ x __ gee, gosh, golly  __ INTERJECTION __ I5
wâcistakâc __ Ipc __ x __ gosh, darn, gee whiz  __ INTERJECTION __ I5
mâmaskâc __ Ipc __ x __ it's a miracle, amazing  __ INTERJECTION __ I5
tâpwê piko ani (tâpwe pikwâni?) __ MWE __ x __ very true indeed  __ EMPHASIS __ I5
mâ __ Ipc __ x __ listen  __ IMPERATIVE __ I5
pitamâ __ Ipc __ x __ a while  __ TIME __ I5
âta __ Ipc __ x __ although  __ ADVERBIAL_CLAUSE __ I5
apisîs __ Ipc __ x __ a little  __ QUANTITY __ I5
mistahi __ Ipc __ x __ very, much, lots  __ QUANTITY __ I6
cwa? __ Ipc __ x __ just kidding  __ EMPHASIS __ I7
êkosi mâka __ MWE __ x __ well, that's it  __ EMPHASIS __ I7
êkosi pita __ MWE __ x __ that's it for now  __ EMPHASIS __ I7
âw __ Ipc __ x __ okay now  __ EMPHASIS __ I7
kiyâm __ Ipc __ x __ that's okay  __ EMPHASIS __ I7
ekosi kîyâm __ MWE __ x __ never mind  __ EMPHASIS __ I7
na __ Ipc __ x __ here  __ PLACE __ I7
itâpi nêtê __ MWE __ x __ look over there  __ PLACE __ I7
âstam __ Ipc __ x __ come here  __ PLACE __ I7
âstamitik __ Ipc __ x __ all of you come here  __ PLACE __ I7
awas __ Ipc __ x __ go away  __ PLACE __ I7
awasitik __ Ipc __ x __ all of you go away  __ PLACE __ I7
âsay __ Ipc __ x __ already  __ TIME __ I7
cêskwa __ Ipc __ x __ wait  __ TIME __ I7
sêmâk __ Ipc __ x __ right now, immediately  __ TIME __ I7
kâya __ Ipc __ x __ don't  __ EMPHASIS __ I7
osâm __ Ipc __ x __ because, especially  __ EMPHASIS __ I7
cîki __ Ipc __ x __ near  __ PLACE __ I7
kâkikê __ Ipc __ x __ always  __ TIME __ I7
mahti __ Ipc __ x __ let's, would you, could you, please  __ EMPHASIS __ I7
mêkwâc __ Ipc __ x __ right now, at this time  __ TIME __ I7
pâmwayês __ Ipc __ x __ before  __ TIME __ I8
âpihtaw __ Ipc __ x __ half  __ QUANTITY __ I8
mîna __ Ipc __ x __ and  __ COORDINATE_RELATIONS __ I8
mînâpihtaw __ Ipc __ x __ and a half  __ TIME __ I8
kêkâc __ Ipc __ x __ almost  __ QUANTITY __ I8
aspin __ Ipc __ x __ since  __ TIME __ I8
ohci __ Ipc __ x __ from, for, about  __ TIME __ I8
piko __ Ipc __ x __ only  __ QUANTITY __ I9
katisk __ Ipc __ x __ only, just  __ QUANTITY __ I9
itahto __ Ipc __ x __ the amount of, every  __ QUANTITY __ I9
piko __ Ipc __ x __ have to  __ EMPHASIS __ I9
