Target language lemma,ID,User language gloss,English gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Target language example sentence,User language translation,English translation,Reference,Topic(s),Lesson
viessu,1,hus,,N,A1,,1,viesu,Sg.Acc,Varasláibehádja devddii olles viesu go eadni láibbui láibbiid.,Lukta av nybrakt brød fylte hele huset da mor bakte brød.,,,,
viessu,2,hus,,N,A1,,2,viesus,Sg.Loc,Áhku viesus lea unna beatnagaš mainna láven stoahkat.,I huset til bestemor er det en liten hund som jeg bruker å leke med.,,,,
viessu,3,hus,,N,A1,,3,vissui,Sg.Ill,"Go bohten vissui, de jerren eatnis: «Gos bat Biret lea?»","Da jeg kom inn I huset, spurte jeg mamma: “Hvor hen er Biret?”",,,,
biila,4,bil,,N,A2,,1,biillain,Sg.Com,Mii vuoddjáimet guvttiin biillain gávpogii iđđedis diibmu gávcci.,Vi kjørte med to biler til byen på morgenen klokken åtte.,,,,
biila,5,bil,,N,A2,,2,biillain,Pl.Loc,"Heasttat eai orron ballamin biillain ja olbmuin, muhto guhto ráfálaččat giettis.","Hestene syntes ikke å være redd for bilene og menneskene, men de beitet fredelig i enga.",,,,
biila,6,bil,,N,A2,,3,biillaiguin,Pl.Com,"Ollugat vudje priváhta biillaiguin, muhto mii leimmet maiddái láigohan busse.","Mange kjørte med private biler, men vi hadde også leid buss.",,,,
eadni,7,mor,,N,A1,,1,eatni,Sg.Acc,Elle buorrestii eatni ovdal go vázzilii skuvlii.,Elle ga mor en klem før hun gikk til skolen.,,,,
eadni,8,mor,,N,A1,,2,eatni,Sg.Gen,"Unna mánážat dulbmet eatni askki, stuora mánát dulbmet fas váimmu.","Små barn tråkker på mors fang, store barn tråkker på hjertet.",,,,
eadni,9,mor,,N,A1,,3,eadni,Sg.Nom,Eadni finai rámbuvrris mielkki oastimin.,Mor var innom butikken for å kjøpe melk.,,,,
beana,10,hund,,N,A2,,1,beana,Sg.Nom,Mus lea beana man namma lea Rambo.,Jeg har en hund som heter Rambo.,,,,
beana,11,hund,,N,A2,,2,beatnaga,Sg.Gen,Beanagilvui sii válljejit dieđusge dan gávcci buoremus beatnaga.,Til hundeløpet valger de selvsagt ut de fem beste hundene.,,,,
beana,12,hund,,N,A2,,3,beatnagiid,Pl.Acc,"Son dovddai iežas beatnagiid, ja diđii ahte eai duššiid gal hara.","Hun kjente sine hunder, og visste at de ikke knurrer for ingenting. ",,,,
leat,13,være,,V,A1,,1,lea,Ind.Prs.Sg3,Elle lea skuvllas olles beaivvi.,Elle er på skolen hele dagen.,,,,
leat,14,være,,V,A1,,2,lean,Ind.Prs.Sg1,Mun lean vihttanuppelohkái jagi boaris.,Jeg er femten år gammel.,,,,
leat,15,være,,V,A1,,3,leat,Ind.Prs.Sg2,Mun gullen oahpaheaddjis ahte don leat čeahpimus oahppi skuvllas.,Jeg hørte fra læreren at du er den flinkeste eleven på skolen.,,,,
boahtit,16,komme,,V,A2,,1,boađášii,Cond.Prs.Sg3,Dakkár máhttu ja oahppu boađášii fas ávkin olles sámi servodahkii.,En slik kunnskap og utdanning ville igjen komme til nytte for hele det samiske samfunnet.,,,,
boahtit,17,komme,,V,A2,,2,boahtimin,Actio.Ess,Leat go du olbmát dahje fuolkkit boahtimin beassášguossái?,Kommer dine venner eller slektninger på påskebesøk?,,,,
boahtit,18,komme,,V,A2,,3,boađe,Imprt.Sg2,"Eadni, boađe veahkehit mu!","Mor, kom og hjelp meg!",,,,
bargat,19,jobbe,,V,A1,,1,bargá,Ind.Prs.Sg3,Son bargá dábálaččat oahpaheaddjin joatkkaskuvllas.,Han jobber vanligvis som lærer på videregående skole.,,,,
bargat,20,jobbe,,V,A1,,2,bargat,Inf,Mun ferten bargat vai dinen ruđaid.,Jeg må jobbe slik at jeg tjener penger.,,,,
bargat,21,jobbe,,V,A1,,3,barggan,Ind.Prs.Sg1,Vahkkoloahpaid mun barggan rámbuvrris.,I helgene jobber jeg på butikk.,,,,
buorre,22,god,,A,A2,,1,buorre,Sg.Nom,Mus lea buorre biila.,Jeg har en god bil.,,,,
buorre,23,god,,A,A2,,2,buori,Sg.Acc,Lihkus ožžon buori veahki oahpaheddjiin.,Heldigvis fikk jeg god hjelp fra lærerne.,,,,
buorre,24,god,,A,A2,,3,buoremus,Superl.Attr,Don leat mu buoremus ustit.,Du er min beste venn.,,,,
čeahppi,25,flink,,A,A1,,1,čeahpes,Attr,Mari Boine lea čeahpes lávlu.,Mari Boine er en flink sanger.,,,,
čeahppi,26,flink,,A,A1,,2,čeahppi,Sg.Nom,Son lea hui čeahppi lávlut.,Hun er veldig flink å synge.,,,,
čeahppi,27,flink,,A,A1,,3,čeahpimus,Superl.Attr,Mun gullen oahpaheaddjis ahte don leat čeahpimus oahppi skuvllas.,Jeg hørte fra læreren at du er den flinkeste eleven på skolen.,,,,
leat,28,ha,,V,A2,,1,lea,Ind.Prs.Sg3,Mus lea beana man namma lea Rambo.,Jeg har en hund som heter Rambo.,,,,
leat,29,ha,,V,A2,,2,leat,Ind.Prs.Pl3,Ánnes leat golbma máná.,Ánne har tre barn.,,,,
leat,30,ha,,V,A2,,3,lei,Ind.Prt.Sg3,Njealji soalddáhis lei ovddasvástádus gohkket biepmu.,Fire soldater hadde ansvaret for å lage mat.,,,,
