NDS				
Tag	Short (eng)	Long (eng)	Kort (nob)	Lang (nob)
A	adj.	adjective	adj.	adjektiv
Adp				
Adv	adv.	adverb	adv.	adverb
CC	conj.	conjunction	konj.	konjunksjon
CS	subj.	subjunction	subjunk.	subjunksjon
Interj	interj.	interjection	interj.	interjeksjon
N	n.	noun	s.	substantiv
Num	num.	numeral	num.	tallord
Pcle		particle		partikkel
Po	postp.	postposition	postp.	postposisjon
Pr	prep.	preposition	prep.	preposisjon
Pron	pron.	pronoun	pron.	pronomen
V	v.	verb	v.	verb
Coll				samlingstall
Dem	demonstr.	demonstrative pronoun	demonstr.	demonstrativ pronomen
Indef		indefinite pronoun		ubestemt pronomen
Interr		interrogative pronoun		
Pers		person pronoun		personlig pronomen
Recipr		reciprocal pronoun		resiprok pronomen
Refl		reflexive pronoun		refleksiv pronomen
Rel		relative pronoun		relativ pronomen
NomAg		agent noun		handlernomen
G3		geminat grade 3		
G7				
Use/Ngminip				
Err/Orth				
Err/Lex				
Allegro				
Aktor				
res.				
Prop		proper noun		egennavn
Ord		ordinal		ordenstall
PxSg1		possessive suffix singular first person	poss. 1.p.ent.	
PxSg2		possessive suffix singular second person	poss. 2.p.ent.	
PxSg3		possessive suffix singular third person	poss. 3.p.ent.	
PxDu1		possessive suffix dual first person	poss. 1.p.tot.	
PxDu2		possessive suffix dual second person	poss. 2.p.tot.	
PxDu3		possessive suffix dual third person	poss. 3.p.tot.	
PxPl1		possessive suffix plural first person	poss. 1.p.flt.	
PxPl2		possessive suffix plural second person	poss. 2.p.flt.	
PxPl3		possessive suffix plural third person	poss. 3.p.flt.	
Prs		present		presens
Prt		preteritum		preteritum
Sup		supinum		supinum
Neg		negation verb		nektingsverb
ConNeg		negation form		nektingsform
Sg1		singular first person	1.p.ent.	første person entall
Sg2		singular second person	2.p.ent.	andre person entall
Sg3		singular third person	3.p.ent.	tredje person flertall
Du1		dual first person	1.p.tot.	
Du2		dual second person	2.p.tot.	
Du3		dual third person	3.p.tot.	
Pl1		plural first person	1.p.flt.	første person flertall
Pl2		plural second person	2.p.flt.	andre person entall
Pl3		plural third person	3.p.flt.	tredje person flertall
Sg		singular		entall
Du		dual		totall
Pl		plural		flertall
PrsPrc		present participle	pres.partisipp	presens partisipp
PrfPrc		perfect participle	perf.partisipp	
Nom		nominative		nominativ
Acc		accusative		akkusativ
Gen		genitive		genitiv
Ill		illative		illativ
Loc		locative		lokativ
Ess		essive		essiv
Com		comitative		komitativ
v1				
v2				
v3				
v4				
v5				
v6				
v7				
v8				
v9				
v10				
ACR		acronym		akronym
ABBR		abbreviation		forkortning
Qst		question particle		spørrepartikkel
CLB		clause boundary		setningsgrense
PUNCT		punctuation mark		tegn
